frame,color,timestamp_ms,confidence,x,y,width,height
0,RED,0,0.95,315,145,110,110
1,RED,33,0.94,315,145,110,110
2,RED,66,0.96,315,145,110,110
25,RED,825,0.93,315,145,110,110
30,YELLOW,990,0.92,315,145,110,110
31,YELLOW,1023,0.91,315,145,110,110
55,YELLOW,1815,0.94,315,145,110,110
60,GREEN,1980,0.96,315,145,110,110
61,GREEN,2013,0.95,315,145,110,110
85,GREEN,2805,0.93,315,145,110,110
90,RED,2970,0.94,315,145,110,110
120,YELLOW,3960,0.92,315,145,110,110
150,GREEN,4950,0.95,315,145,110,110
180,RED,5940,0.93,315,145,110,110
210,YELLOW,6930,0.91,315,145,110,110
240,GREEN,7920,0.94,315,145,110,110
270,RED,8910,0.95,315,145,110,110
300,YELLOW,9900,0.92,315,145,110,110
330,GREEN,10890,0.96,315,145,110,110
360,RED,11880,0.93,315,145,110,110
390,YELLOW,12870,0.91,315,145,110,110
420,GREEN,13860,0.94,315,145,110,110
